stateabbr,statedesc,countyname,countyfips,totalpopulation,diabetes_crudeprev,diabetes,county_label,diabetes_class
TX,Texas,Dimmit,48127,8257,23.4,23.4,Dimmit County,16.4-23.4%
TX,Texas,Jim Hogg,48247,4720,22.8,22.8,Jim Hogg County,16.4-23.4%
TX,Texas,Zavala,48507,9312,22.6,22.6,Zavala County,16.4-23.4%
TX,Texas,Presidio,48377,5795,22.2,22.2,Presidio County,16.4-23.4%
TX,Texas,Jeff Davis,48243,1856,21.2,21.2,Jeff Davis County,16.4-23.4%
TX,Texas,San Augustine,48405,7833,20.9,20.9,San Augustine County,16.4-23.4%
TX,Texas,Zapata,48505,13736,20.8,20.8,Zapata County,16.4-23.4%
TX,Texas,Starr,48427,65934,20,20,Starr County,16.4-23.4%
TX,Texas,Brooks,48047,6848,19.8,19.8,Brooks County,16.4-23.4%
TX,Texas,Edwards,48137,1393,19.3,19.3,Edwards County,16.4-23.4%
TX,Texas,Culberson,48109,2196,19.3,19.3,Culberson County,16.4-23.4%
TX,Texas,Duval,48131,9604,18.8,18.8,Duval County,16.4-23.4%
TX,Texas,Cottle,48101,1294,18.8,18.8,Cottle County,16.4-23.4%
TX,Texas,Willacy,48489,20037,18.8,18.8,Willacy County,16.4-23.4%
TX,Texas,Cochran,48079,2509,18.6,18.6,Cochran County,16.4-23.4%
TX,Texas,Newton,48351,12039,18.6,18.6,Newton County,16.4-23.4%
TX,Texas,Kenedy,48261,343,18.5,18.5,Kenedy County,16.4-23.4%
TX,Texas,Cameron,48061,426710,18.3,18.3,Cameron County,16.4-23.4%
TX,Texas,Real,48385,2854,18.3,18.3,Real County,16.4-23.4%
TX,Texas,Foard,48155,1079,18.2,18.2,Foard County,16.4-23.4%
TX,Texas,Marion,48315,9571,18.1,18.1,Marion County,16.4-23.4%
TX,Texas,Jim Wells,48249,38662,18,18,Jim Wells County,16.4-23.4%
TX,Texas,Maverick,48323,57762,17.8,17.8,Maverick County,16.4-23.4%
TX,Texas,McMullen,48311,568,17.8,17.8,McMullen County,16.4-23.4%
TX,Texas,Reeves,48389,11770,17.6,17.6,Reeves County,16.4-23.4%
TX,Texas,Refugio,48391,6666,17.6,17.6,Refugio County,16.4-23.4%
TX,Texas,Menard,48327,1958,17.6,17.6,Menard County,16.4-23.4%
TX,Texas,Briscoe,48045,1445,17.5,17.5,Briscoe County,16.4-23.4%
TX,Texas,Hall,48191,2818,17.5,17.5,Hall County,16.4-23.4%
TX,Texas,Sutton,48435,3221,17.4,17.4,Sutton County,16.4-23.4%
TX,Texas,Hidalgo,48215,898471,17.4,17.4,Hidalgo County,16.4-23.4%
TX,Texas,Crosby,48107,4917,17.1,17.1,Crosby County,16.4-23.4%
TX,Texas,Floyd,48153,5090,17,17,Floyd County,16.4-23.4%
TX,Texas,Red River,48387,11678,16.9,16.9,Red River County,16.4-23.4%
TX,Texas,King,48269,217,16.8,16.8,King County,16.4-23.4%
TX,Texas,Houston,48225,22066,16.8,16.8,Houston County,16.4-23.4%
TX,Texas,Dickens,48125,1711,16.7,16.7,Dickens County,16.4-23.4%
TX,Texas,Swisher,48437,6955,16.6,16.6,Swisher County,16.4-23.4%
TX,Texas,Lamb,48279,12711,16.6,16.6,Lamb County,16.4-23.4%
TX,Texas,Sabine,48403,10106,16.6,16.6,Sabine County,16.4-23.4%
TX,Texas,Kimble,48267,4442,16.6,16.6,Kimble County,16.4-23.4%
TX,Texas,Upton,48461,3109,16.6,16.6,Upton County,16.4-23.4%
TX,Texas,Wilbarger,48487,12522,16.5,16.5,Wilbarger County,16.4-23.4%
TX,Texas,Crockett,48105,2858,16.5,16.5,Crockett County,16.4-23.4%
TX,Texas,Pecos,48371,14623,16.5,16.5,Pecos County,16.4-23.4%
TX,Texas,Nolan,48353,14306,16.5,16.5,Nolan County,16.4-23.4%
TX,Texas,Shelby,48419,24179,16.4,16.4,Shelby County,14.9-16.4%
TX,Texas,San Jacinto,48407,28936,16.4,16.4,San Jacinto County,14.9-16.4%
TX,Texas,Matagorda,48321,36359,16.4,16.4,Matagorda County,14.9-16.4%
TX,Texas,Trinity,48455,14228,16.4,16.4,Trinity County,14.9-16.4%
TX,Texas,Terry,48445,11547,16.4,16.4,Terry County,14.9-16.4%
TX,Texas,Deaf Smith,48117,18347,16.4,16.4,Deaf Smith County,14.9-16.4%
TX,Texas,Jasper,48241,32694,16.3,16.3,Jasper County,14.9-16.4%
TX,Texas,Live Oak,48297,11584,16.2,16.2,Live Oak County,14.9-16.4%
TX,Texas,Limestone,48293,22250,16.1,16.1,Limestone County,14.9-16.4%
TX,Texas,Webb,48479,269148,16.1,16.1,Webb County,14.9-16.4%
TX,Texas,Camp,48063,13000,16.1,16.1,Camp County,14.9-16.4%
TX,Texas,Falls,48145,17286,16.1,16.1,Falls County,14.9-16.4%
TX,Texas,DeWitt,48123,19929,16,16,DeWitt County,14.9-16.4%
TX,Texas,Gonzales,48177,19930,16,16,Gonzales County,14.9-16.4%
TX,Texas,Aransas,48007,25374,15.9,15.9,Aransas County,14.9-16.4%
TX,Texas,Coke,48081,3352,15.9,15.9,Coke County,14.9-16.4%
TX,Texas,Morris,48343,12066,15.9,15.9,Morris County,14.9-16.4%
TX,Texas,Stonewall,48433,1218,15.8,15.8,Stonewall County,14.9-16.4%
TX,Texas,Kinney,48271,3148,15.8,15.8,Kinney County,14.9-16.4%
TX,Texas,Nueces,48355,352289,15.8,15.8,Nueces County,14.9-16.4%
TX,Texas,Uvalde,48463,24960,15.7,15.7,Uvalde County,14.9-16.4%
TX,Texas,Llano,48299,22875,15.7,15.7,Llano County,14.9-16.4%
TX,Texas,Cass,48067,28659,15.7,15.7,Cass County,14.9-16.4%
TX,Texas,Bandera,48019,22637,15.7,15.7,Bandera County,14.9-16.4%
TX,Texas,Goliad,48175,7144,15.6,15.6,Goliad County,14.9-16.4%
TX,Texas,Val Verde,48465,47720,15.6,15.6,Val Verde County,14.9-16.4%
TX,Texas,Titus,48449,31357,15.6,15.6,Titus County,14.9-16.4%
TX,Texas,Knox,48275,3302,15.6,15.6,Knox County,14.9-16.4%
TX,Texas,Jefferson,48245,251496,15.6,15.6,Jefferson County,14.9-16.4%
TX,Texas,Hale,48189,31761,15.6,15.6,Hale County,14.9-16.4%
TX,Texas,Castro,48069,7227,15.5,15.5,Castro County,14.9-16.4%
TX,Texas,Bailey,48017,6672,15.5,15.5,Bailey County,14.9-16.4%
TX,Texas,La Salle,48283,6537,15.5,15.5,La Salle County,14.9-16.4%
TX,Texas,McCulloch,48307,7452,15.5,15.5,McCulloch County,14.9-16.4%
TX,Texas,Collingsworth,48087,2563,15.5,15.5,Collingsworth County,14.9-16.4%
TX,Texas,El Paso,48141,869880,15.4,15.4,El Paso County,14.9-16.4%
TX,Texas,Atascosa,48013,51784,15.4,15.4,Atascosa County,14.9-16.4%
TX,Texas,Coleman,48083,7842,15.4,15.4,Coleman County,14.9-16.4%
TX,Texas,Robertson,48395,17267,15.4,15.4,Robertson County,14.9-16.4%
TX,Texas,Polk,48373,54186,15.4,15.4,Polk County,14.9-16.4%
TX,Texas,Throckmorton,48447,1526,15.4,15.4,Throckmorton County,14.9-16.4%
TX,Texas,San Patricio,48409,70660,15.4,15.4,San Patricio County,14.9-16.4%
TX,Texas,Lee,48287,18240,15.4,15.4,Lee County,14.9-16.4%
TX,Texas,Navarro,48349,55635,15.3,15.3,Navarro County,14.9-16.4%
TX,Texas,Frio,48163,17987,15.3,15.3,Frio County,14.9-16.4%
TX,Texas,Leon,48289,16538,15.3,15.3,Leon County,14.9-16.4%
TX,Texas,Tyler,48457,20382,15.3,15.3,Tyler County,14.9-16.4%
TX,Texas,Dawson,48115,12004,15.3,15.3,Dawson County,14.9-16.4%
TX,Texas,Potter,48375,114647,15.3,15.3,Potter County,14.9-16.4%
TX,Texas,Lynn,48305,5761,15.2,15.2,Lynn County,14.9-16.4%
TX,Texas,Hardeman,48197,3490,15.2,15.2,Hardeman County,14.9-16.4%
TX,Texas,Parmer,48369,9617,15,15,Parmer County,14.9-16.4%
TX,Texas,Terrell,48443,687,15,15,Terrell County,14.9-16.4%
TX,Texas,Wharton,48481,41739,15,15,Wharton County,14.9-16.4%
TX,Texas,Crane,48103,4574,15,15,Crane County,14.9-16.4%
TX,Texas,Angelina,48005,87319,14.9,14.9,Angelina County,14.0-14.9%
TX,Texas,Haskell,48207,5385,14.9,14.9,Haskell County,14.0-14.9%
TX,Texas,Garza,48169,4517,14.9,14.9,Garza County,14.0-14.9%
TX,Texas,Moore,48341,21190,14.9,14.9,Moore County,14.0-14.9%
TX,Texas,Baylor,48023,3463,14.9,14.9,Baylor County,14.0-14.9%
TX,Texas,Milam,48331,25951,14.9,14.9,Milam County,14.0-14.9%
TX,Texas,Colorado,48089,21117,14.9,14.9,Colorado County,14.0-14.9%
TX,Texas,Comanche,48093,14050,14.8,14.8,Comanche County,14.0-14.9%
TX,Texas,Schleicher,48413,2391,14.8,14.8,Schleicher County,14.0-14.9%
TX,Texas,Lipscomb,48295,2906,14.8,14.8,Lipscomb County,14.0-14.9%
TX,Texas,Jackson,48239,15221,14.7,14.7,Jackson County,14.0-14.9%
TX,Texas,Dallam,48111,7237,14.7,14.7,Dallam County,14.0-14.9%
TX,Texas,Runnels,48399,9868,14.7,14.7,Runnels County,14.0-14.9%
TX,Texas,Cherokee,48073,52217,14.7,14.7,Cherokee County,14.0-14.9%
TX,Texas,Kerr,48265,53915,14.7,14.7,Kerr County,14.0-14.9%
TX,Texas,Freestone,48161,20441,14.7,14.7,Freestone County,14.0-14.9%
TX,Texas,Calhoun,48057,19696,14.7,14.7,Calhoun County,14.0-14.9%
TX,Texas,Wheeler,48483,4804,14.7,14.7,Wheeler County,14.0-14.9%
TX,Texas,Motley,48345,1020,14.7,14.7,Motley County,14.0-14.9%
TX,Texas,Austin,48015,31677,14.7,14.7,Austin County,14.0-14.9%
TX,Texas,Lavaca,48285,20571,14.6,14.6,Lavaca County,14.0-14.9%
TX,Texas,Caldwell,48055,49859,14.6,14.6,Caldwell County,14.0-14.9%
TX,Texas,Hamilton,48193,8619,14.6,14.6,Hamilton County,14.0-14.9%
TX,Texas,Wood,48499,47921,14.6,14.6,Wood County,14.0-14.9%
TX,Texas,Victoria,48469,91664,14.5,14.5,Victoria County,14.0-14.9%
TX,Texas,Henderson,48213,86158,14.5,14.5,Henderson County,14.0-14.9%
TX,Texas,Reagan,48383,3141,14.5,14.5,Reagan County,14.0-14.9%
TX,Texas,Fisher,48151,3612,14.5,14.5,Fisher County,14.0-14.9%
TX,Texas,Medina,48325,54797,14.4,14.4,Medina County,14.0-14.9%
TX,Texas,Palo Pinto,48363,29747,14.4,14.4,Palo Pinto County,14.0-14.9%
TX,Texas,Ward,48475,10966,14.4,14.4,Ward County,14.0-14.9%
TX,Texas,Grimes,48185,32384,14.4,14.4,Grimes County,14.0-14.9%
TX,Texas,Mason,48319,3931,14.4,14.4,Mason County,14.0-14.9%
TX,Texas,Hudspeth,48229,3451,14.3,14.3,Hudspeth County,14.0-14.9%
TX,Texas,Lamar,48277,51127,14.3,14.3,Lamar County,14.0-14.9%
TX,Texas,Bosque,48035,18996,14.3,14.3,Bosque County,14.0-14.9%
TX,Texas,San Saba,48411,5845,14.2,14.2,San Saba County,14.0-14.9%
TX,Texas,Hill,48217,38101,14.2,14.2,Hill County,14.0-14.9%
TX,Texas,Concho,48095,3297,14.2,14.2,Concho County,14.0-14.9%
TX,Texas,Rains,48379,12986,14.1,14.1,Rains County,14.0-14.9%
TX,Texas,Hockley,48219,21460,14.1,14.1,Hockley County,14.0-14.9%
TX,Texas,Ochiltree,48357,9704,14.1,14.1,Ochiltree County,14.0-14.9%
TX,Texas,Eastland,48133,18037,14.1,14.1,Eastland County,14.0-14.9%
TX,Texas,Mills,48333,4548,14.1,14.1,Mills County,14.0-14.9%
TX,Texas,Winkler,48495,7414,14.1,14.1,Winkler County,14.0-14.9%
TX,Texas,Donley,48129,3214,14,14,Donley County,12.8-14.0%
TX,Texas,Burleson,48051,19475,14,14,Burleson County,12.8-14.0%
TX,Texas,Lampasas,48281,23262,14,14,Lampasas County,12.8-14.0%
TX,Texas,Karnes,48255,15018,14,14,Karnes County,12.8-14.0%
TX,Texas,Kleberg,48273,30069,14,14,Kleberg County,12.8-14.0%
TX,Texas,Brown,48049,38709,14,14,Brown County,12.8-14.0%
TX,Texas,Liberty,48291,108272,13.9,13.9,Liberty County,12.8-14.0%
TX,Texas,Rusk,48401,53079,13.9,13.9,Rusk County,12.8-14.0%
TX,Texas,Bee,48025,30850,13.9,13.9,Bee County,12.8-14.0%
TX,Texas,Anderson,48001,57736,13.9,13.9,Anderson County,12.8-14.0%
TX,Texas,Upshur,48459,43281,13.9,13.9,Upshur County,12.8-14.0%
TX,Texas,Gray,48179,20916,13.9,13.9,Gray County,12.8-14.0%
TX,Texas,Bexar,48029,2087679,13.9,13.9,Bexar County,12.8-14.0%
TX,Texas,Stephens,48429,9343,13.8,13.8,Stephens County,12.8-14.0%
TX,Texas,Panola,48365,22838,13.8,13.8,Panola County,12.8-14.0%
TX,Texas,Fayette,48149,25474,13.8,13.8,Fayette County,12.8-14.0%
TX,Texas,Bowie,48037,91687,13.8,13.8,Bowie County,12.8-14.0%
TX,Texas,Harrison,48203,70895,13.8,13.8,Harrison County,12.8-14.0%
TX,Texas,Howard,48227,30554,13.7,13.7,Howard County,12.8-14.0%
TX,Texas,Delta,48119,5520,13.7,13.7,Delta County,12.8-14.0%
TX,Texas,Hansford,48195,5071,13.6,13.6,Hansford County,12.8-14.0%
TX,Texas,Gillespie,48171,27733,13.6,13.6,Gillespie County,12.8-14.0%
TX,Texas,Scurry,48415,16212,13.6,13.6,Scurry County,12.8-14.0%
TX,Texas,Gregg,48183,126243,13.5,13.5,Gregg County,12.8-14.0%
TX,Texas,Burnet,48053,53991,13.5,13.5,Burnet County,12.8-14.0%
TX,Texas,Yoakum,48501,7468,13.5,13.5,Yoakum County,12.8-14.0%
TX,Texas,Montague,48337,21598,13.4,13.4,Montague County,12.8-14.0%
TX,Texas,Irion,48235,1549,13.4,13.4,Irion County,12.8-14.0%
TX,Texas,Van Zandt,48467,64000,13.4,13.4,Van Zandt County,12.8-14.0%
TX,Texas,Bastrop,48021,110778,13.4,13.4,Bastrop County,12.8-14.0%
TX,Texas,Jack,48237,8875,13.4,13.4,Jack County,12.8-14.0%
TX,Texas,Young,48503,18124,13.4,13.4,Young County,12.8-14.0%
TX,Texas,Hopkins,48223,38172,13.4,13.4,Hopkins County,12.8-14.0%
TX,Texas,Oldham,48359,1783,13.3,13.3,Oldham County,12.8-14.0%
TX,Texas,Mitchell,48335,9075,13.3,13.3,Mitchell County,12.8-14.0%
TX,Texas,Walker,48471,81268,13.3,13.3,Walker County,12.8-14.0%
TX,Texas,Smith,48423,245209,13.2,13.2,Smith County,12.8-14.0%
TX,Texas,Washington,48477,37007,13.2,13.2,Washington County,12.8-14.0%
TX,Texas,Borden,48033,572,13.2,13.2,Borden County,12.8-14.0%
TX,Texas,Fannin,48147,37571,13.2,13.2,Fannin County,12.8-14.0%
TX,Texas,Nacogdoches,48347,65375,13.2,13.2,Nacogdoches County,12.8-14.0%
TX,Texas,Harris,48201,4835125,13.2,13.2,Harris County,12.8-14.0%
TX,Texas,Callahan,48059,14374,13.2,13.2,Callahan County,12.8-14.0%
TX,Texas,Clay,48077,10738,13.2,13.2,Clay County,12.8-14.0%
TX,Texas,Blanco,48031,13048,13.1,13.1,Blanco County,12.8-14.0%
TX,Texas,Wilson,48493,54183,13.1,13.1,Wilson County,12.8-14.0%
TX,Texas,Madison,48313,13742,13.1,13.1,Madison County,12.8-14.0%
TX,Texas,Cooke,48097,43782,13,13,Cooke County,12.8-14.0%
TX,Texas,Franklin,48159,10735,13,13,Franklin County,12.8-14.0%
TX,Texas,Jones,48253,20381,13,13,Jones County,12.8-14.0%
TX,Texas,Hutchinson,48233,20033,12.9,12.9,Hutchinson County,12.8-14.0%
TX,Texas,Tom Green,48451,119057,12.9,12.9,Tom Green County,12.8-14.0%
TX,Texas,Sherman,48421,2678,12.9,12.9,Sherman County,12.8-14.0%
TX,Texas,Kent,48263,734,12.9,12.9,Kent County,12.8-14.0%
TX,Texas,Guadalupe,48187,188454,12.8,12.8,Guadalupe County,9.0-12.8%
TX,Texas,Brewster,48043,9513,12.8,12.8,Brewster County,9.0-12.8%
TX,Texas,Ector,48135,164494,12.8,12.8,Ector County,9.0-12.8%
TX,Texas,Archer,48009,9029,12.7,12.7,Archer County,9.0-12.8%
TX,Texas,Andrews,48003,18664,12.7,12.7,Andrews County,9.0-12.8%
TX,Texas,Armstrong,48011,1832,12.6,12.6,Armstrong County,9.0-12.8%
TX,Texas,Bell,48027,393193,12.6,12.6,Bell County,9.0-12.8%
TX,Texas,Hood,48221,67774,12.5,12.5,Hood County,9.0-12.8%
TX,Texas,Dallas,48113,2606358,12.5,12.5,Dallas County,9.0-12.8%
TX,Texas,McLennan,48309,268583,12.5,12.5,McLennan County,9.0-12.8%
TX,Texas,Grayson,48181,146907,12.5,12.5,Grayson County,9.0-12.8%
TX,Texas,Hardin,48199,58261,12.4,12.4,Hardin County,9.0-12.8%
TX,Texas,Orange,48361,85722,12.4,12.4,Orange County,9.0-12.8%
TX,Texas,Shackelford,48417,3229,12.3,12.3,Shackelford County,9.0-12.8%
TX,Texas,Galveston,48167,361744,12.3,12.3,Galveston County,9.0-12.8%
TX,Texas,Somervell,48425,9888,12.3,12.3,Somervell County,9.0-12.8%
TX,Texas,Hunt,48231,113347,12.3,12.3,Hunt County,9.0-12.8%
TX,Texas,Martin,48317,5216,12.1,12.1,Martin County,9.0-12.8%
TX,Texas,Wichita,48485,130180,12.1,12.1,Wichita County,9.0-12.8%
TX,Texas,Brazoria,48039,398938,12,12,Brazoria County,9.0-12.8%
TX,Texas,Hartley,48205,5145,12,12,Hartley County,9.0-12.8%
TX,Texas,Fort Bend,48157,916778,12,12,Fort Bend County,9.0-12.8%
TX,Texas,Childress,48075,6788,12,12,Childress County,9.0-12.8%
TX,Texas,Johnson,48251,202906,11.9,11.9,Johnson County,9.0-12.8%
TX,Texas,Wise,48497,78097,11.9,11.9,Wise County,9.0-12.8%
TX,Texas,Gaines,48165,22523,11.8,11.8,Gaines County,9.0-12.8%
TX,Texas,Carson,48065,5878,11.7,11.7,Carson County,9.0-12.8%
TX,Texas,Tarrant,48439,2182947,11.7,11.7,Tarrant County,9.0-12.8%
TX,Texas,Hemphill,48211,3189,11.6,11.6,Hemphill County,9.0-12.8%
TX,Texas,Roberts,48393,840,11.6,11.6,Roberts County,9.0-12.8%
TX,Texas,Ellis,48139,222829,11.6,11.6,Ellis County,9.0-12.8%
TX,Texas,Montgomery,48339,711354,11.4,11.4,Montgomery County,9.0-12.8%
TX,Texas,Lubbock,48303,320940,11.4,11.4,Lubbock County,9.0-12.8%
TX,Texas,Taylor,48441,146836,11.2,11.2,Taylor County,9.0-12.8%
TX,Texas,Kaufman,48257,185690,11.2,11.2,Kaufman County,9.0-12.8%
TX,Texas,Comal,48091,193928,11.2,11.2,Comal County,9.0-12.8%
TX,Texas,Kendall,48259,50537,11.1,11.1,Kendall County,9.0-12.8%
TX,Texas,Waller,48473,63553,11.1,11.1,Waller County,9.0-12.8%
TX,Texas,Glasscock,48173,1141,10.9,10.9,Glasscock County,9.0-12.8%
TX,Texas,Erath,48143,44195,10.8,10.8,Erath County,9.0-12.8%
TX,Texas,Chambers,48071,53876,10.8,10.8,Chambers County,9.0-12.8%
TX,Texas,Midland,48329,177108,10.8,10.8,Midland County,9.0-12.8%
TX,Texas,Randall,48381,148255,10.8,10.8,Randall County,9.0-12.8%
TX,Texas,Parker,48367,173494,10.7,10.7,Parker County,9.0-12.8%
TX,Texas,Sterling,48431,1397,10.5,10.5,Sterling County,9.0-12.8%
TX,Texas,Coryell,48099,84878,10.3,10.3,Coryell County,9.0-12.8%
TX,Texas,Hays,48209,280486,10.2,10.2,Hays County,9.0-12.8%
TX,Texas,Denton,48121,1007703,9.9,9.9,Denton County,9.0-12.8%
TX,Texas,Williamson,48491,697191,9.8,9.8,Williamson County,9.0-12.8%
TX,Texas,Brazos,48041,244703,9.7,9.7,Brazos County,9.0-12.8%
TX,Texas,Collin,48085,1195359,9.5,9.5,Collin County,9.0-12.8%
TX,Texas,Rockwall,48397,131307,9.4,9.4,Rockwall County,9.0-12.8%
TX,Texas,Travis,48453,1334961,9,9,Travis County,9.0-12.8%
